i_type, w_type, o_type, H, W, C, FH, FW, K, SH, SW, has_bias, time(us), GPOS/s
NPU_INT8,NPU_INT8,NPU_INT8,2,2,8,1,1,8,1,1,0,38,0.013474
NPU_INT8,NPU_INT8,NPU_INT8,4,2,8,1,1,16,1,1,0,34,0.060235
NPU_INT8,NPU_INT8,NPU_INT8,4,4,16,1,1,32,1,1,0,35,0.468114
NPU_INT8,NPU_INT8,NPU_INT8,6,4,16,1,1,64,1,1,0,40,1.2288
NPU_INT8,NPU_INT8,NPU_INT8,6,6,32,1,1,16,1,1,0,35,1.053257
NPU_INT8,NPU_INT8,NPU_INT8,8,6,64,1,1,8,1,1,0,37,1.328432
NPU_INT8,NPU_INT8,NPU_INT8,8,8,128,1,1,8,1,1,0,46,2.849391
NPU_INT8,NPU_INT8,NPU_INT8,16,14,8,1,1,16,1,1,0,39,1.470359
NPU_INT8,NPU_INT8,NPU_INT8,26,24,8,1,1,32,1,1,0,126,2.535619
NPU_INT8,NPU_INT8,NPU_INT8,28,28,16,1,1,64,1,1,0,197,8.150416
NPU_INT8,NPU_INT8,NPU_INT8,32,34,16,1,1,8,1,1,0,208,1.339077
NPU_INT8,NPU_INT8,NPU_INT8,32,38,32,1,1,8,1,1,0,267,2.331805
NPU_INT8,NPU_INT8,NPU_INT8,36,42,32,1,1,16,1,1,0,307,5.043283
NPU_INT8,NPU_INT8,NPU_INT8,42,44,32,1,1,32,1,1,0,343,11.034122
NPU_INT8,NPU_INT8,NPU_INT8,48,46,64,1,1,32,1,1,0,823,10.989027
NPU_INT8,NPU_INT8,NPU_INT8,54,54,128,1,1,16,1,1,0,1414,8.446914
NPU_INT8,NPU_INT8,NPU_INT8,4,4,16,3,3,32,1,1,0,42,0.877714
NPU_INT8,NPU_INT8,NPU_INT8,6,4,16,3,3,64,1,1,0,52,2.835692
NPU_INT8,NPU_INT8,NPU_INT8,6,6,32,3,3,16,1,1,0,44,3.351273
NPU_INT8,NPU_INT8,NPU_INT8,8,6,64,3,3,8,1,1,0,48,4.608
NPU_INT8,NPU_INT8,NPU_INT8,8,8,128,3,3,8,1,1,0,77,8.617558
