i_type, w_type, o_type, H, W, C, FH, FW, K, SH, SW, has_bias, time(us), GPOS/s
NPU_INT8,NPU_INT8,NPU_INT8,2,2,8,1,1,8,1,1,0,38,0.013474
NPU_INT8,NPU_INT8,NPU_INT8,2,4,64,1,1,8,1,1,0,35,0.234057
NPU_INT8,NPU_INT8,NPU_INT8,6,8,256,1,1,8,1,1,0,83,2.368771
NPU_INT8,NPU_INT8,NPU_INT8,8,8,16,1,1,16,1,1,0,38,0.862316
NPU_INT8,NPU_INT8,NPU_INT8,2,4,128,1,1,16,1,1,0,41,0.799219
NPU_INT8,NPU_INT8,NPU_INT8,4,6,512,1,1,16,1,1,0,110,3.574691
NPU_INT8,NPU_INT8,NPU_INT8,6,8,32,1,1,32,1,1,0,46,2.137043
NPU_INT8,NPU_INT8,NPU_INT8,2,2,128,1,1,32,1,1,0,47,0.697191
NPU_INT8,NPU_INT8,NPU_INT8,2,4,512,1,1,32,1,1,0,107,2.449944
NPU_INT8,NPU_INT8,NPU_INT8,4,6,8,1,1,64,1,1,0,41,0.599415
NPU_INT8,NPU_INT8,NPU_INT8,6,8,64,1,1,64,1,1,0,77,5.106701
NPU_INT8,NPU_INT8,NPU_INT8,8,8,256,1,1,64,1,1,0,224,9.362286
NPU_INT8,NPU_INT8,NPU_INT8,2,4,8,1,1,128,1,1,0,44,0.372364
NPU_INT8,NPU_INT8,NPU_INT8,6,8,64,1,1,128,1,1,0,115,6.838539
NPU_INT8,NPU_INT8,NPU_INT8,8,8,512,1,1,128,1,1,0,764,10.979853
NPU_INT8,NPU_INT8,NPU_INT8,2,2,16,1,1,256,1,1,0,63,0.520127
NPU_INT8,NPU_INT8,NPU_INT8,4,4,64,1,1,256,1,1,0,123,4.262504
NPU_INT8,NPU_INT8,NPU_INT8,6,6,128,1,1,256,1,1,0,277,8.517314
NPU_INT8,NPU_INT8,NPU_INT8,8,8,256,1,1,256,1,1,0,518,16.194223
NPU_INT8,NPU_INT8,NPU_INT8,10,16,8,1,1,8,1,1,0,40,0.512
NPU_INT8,NPU_INT8,NPU_INT8,10,16,16,1,1,8,1,1,0,44,0.930909
NPU_INT8,NPU_INT8,NPU_INT8,10,16,32,1,1,8,1,1,0,53,1.54566
NPU_INT8,NPU_INT8,NPU_INT8,16,20,64,1,1,8,1,1,0,172,1.905116
NPU_INT8,NPU_INT8,NPU_INT8,16,20,128,1,1,8,1,1,0,290,2.259862
NPU_INT8,NPU_INT8,NPU_INT8,16,20,256,1,1,8,1,1,0,534,2.454532
NPU_INT8,NPU_INT8,NPU_INT8,16,20,512,1,1,8,1,1,0,1173,2.234817
NPU_INT8,NPU_INT8,NPU_INT8,16,20,8,1,1,16,1,1,0,85,0.963765
NPU_INT8,NPU_INT8,NPU_INT8,16,20,16,1,1,16,1,1,0,98,1.671837
NPU_INT8,NPU_INT8,NPU_INT8,16,20,32,1,1,16,1,1,0,127,2.580157
NPU_INT8,NPU_INT8,NPU_INT8,16,20,64,1,1,16,1,1,0,185,3.542486
NPU_INT8,NPU_INT8,NPU_INT8,18,22,128,1,1,16,1,1,0,360,4.5056
NPU_INT8,NPU_INT8,NPU_INT8,18,22,256,1,1,16,1,1,0,737,4.401672
NPU_INT8,NPU_INT8,NPU_INT8,20,24,512,1,1,16,1,1,0,2281,3.447751
