i_type, w_type, o_type, M, K, N, has_bias, time(us), GPOS/s
NPU_INT8, NPU_INT8, NPU_INT8,1,8,8,0,22,0.005818
NPU_INT8, NPU_INT8, NPU_INT8,1,8,16,0,17,0.015059
NPU_INT8, NPU_INT8, NPU_INT8,1,16,16,0,17,0.030118
NPU_INT8, NPU_INT8, NPU_INT8,1,16,32,0,18,0.056889
NPU_INT8, NPU_INT8, NPU_INT8,1,24,32,0,19,0.080842
NPU_INT8, NPU_INT8, NPU_INT8,1,24,56,0,19,0.141474
NPU_INT8, NPU_INT8, NPU_INT8,1,32,56,0,21,0.170667
NPU_INT8, NPU_INT8, NPU_INT8,1,32,64,0,20,0.2048
NPU_INT8, NPU_INT8, NPU_INT8,1,56,64,0,24,0.298667
NPU_INT8, NPU_INT8, NPU_INT8,1,56,72,0,27,0.298667
NPU_INT8, NPU_INT8, NPU_INT8,1,64,72,0,29,0.317793
NPU_INT8, NPU_INT8, NPU_INT8,1,64,80,0,30,0.341333
NPU_INT8, NPU_INT8, NPU_INT8,1,72,80,0,31,0.371613
NPU_INT8, NPU_INT8, NPU_INT8,1,72,128,0,33,0.558545
NPU_INT8, NPU_INT8, NPU_INT8,1,128,128,0,46,0.712348
NPU_INT8, NPU_INT8, NPU_INT8,1,128,152,0,49,0.794122
NPU_INT8, NPU_INT8, NPU_INT8,1,256,152,0,82,0.949073
NPU_INT8, NPU_INT8, NPU_INT8,1,256,256,0,100,1.31072
NPU_INT8, NPU_INT8, NPU_INT8,1,312,256,0,115,1.389078
NPU_INT8, NPU_INT8, NPU_INT8,1,312,312,0,136,1.431529
NPU_INT8, NPU_INT8, NPU_INT8,1,368,368,0,187,1.448385
NPU_INT8, NPU_INT8, NPU_INT8,1,368,472,0,234,1.484581
NPU_INT8, NPU_INT8, NPU_INT8,1,472,472,0,299,1.490194
NPU_INT8, NPU_INT8, NPU_INT8,1,472,504,0,318,1.496151
NPU_INT8, NPU_INT8, NPU_INT8,1,512,504,0,343,1.504653
NPU_INT8, NPU_INT8, NPU_INT8,1,512,512,0,347,1.510916
NPU_INT8, NPU_INT8, NPU_INT8,2,8,8,0,23,0.01113
NPU_INT8, NPU_INT8, NPU_INT8,2,8,16,0,23,0.022261
NPU_INT8, NPU_INT8, NPU_INT8,2,16,16,0,25,0.04096
NPU_INT8, NPU_INT8, NPU_INT8,2,16,32,0,25,0.08192
NPU_INT8, NPU_INT8, NPU_INT8,2,24,32,0,28,0.109714
