i_type, w_type, o_type, M, K, N, has_bias, time(us), GPOS/s
NPU_INT8, NPU_INT8, NPU_INT8,1,8,8,0,16,0.008
NPU_INT8, NPU_INT8, NPU_INT8,1,8,16,0,16,0.016
NPU_INT8, NPU_INT8, NPU_INT8,1,16,16,0,17,0.030118
NPU_INT8, NPU_INT8, NPU_INT8,1,16,32,0,17,0.060235
NPU_INT8, NPU_INT8, NPU_INT8,1,24,32,0,18,0.085333
NPU_INT8, NPU_INT8, NPU_INT8,1,24,56,0,20,0.1344
NPU_INT8, NPU_INT8, NPU_INT8,1,32,56,0,22,0.162909
NPU_INT8, NPU_INT8, NPU_INT8,1,32,64,0,22,0.186182
NPU_INT8, NPU_INT8, NPU_INT8,1,56,64,0,26,0.275692
NPU_INT8, NPU_INT8, NPU_INT8,1,56,72,0,29,0.278069
NPU_INT8, NPU_INT8, NPU_INT8,1,64,72,0,30,0.3072
NPU_INT8, NPU_INT8, NPU_INT8,1,64,80,0,33,0.310303
NPU_INT8, NPU_INT8, NPU_INT8,1,72,80,0,34,0.338824
NPU_INT8, NPU_INT8, NPU_INT8,1,72,128,0,44,0.418909
NPU_INT8, NPU_INT8, NPU_INT8,1,128,128,0,67,0.489075
NPU_INT8, NPU_INT8, NPU_INT8,1,128,152,0,80,0.4864
NPU_INT8, NPU_INT8, NPU_INT8,1,256,152,0,144,0.540444
NPU_INT8, NPU_INT8, NPU_INT8,1,256,256,0,237,0.553046
NPU_INT8, NPU_INT8, NPU_INT8,1,312,256,0,284,0.562479
NPU_INT8, NPU_INT8, NPU_INT8,1,312,312,0,339,0.574301
NPU_INT8, NPU_INT8, NPU_INT8,1,368,368,0,472,0.573831
NPU_INT8, NPU_INT8, NPU_INT8,1,368,472,0,600,0.578987
NPU_INT8, NPU_INT8, NPU_INT8,1,472,472,0,780,0.571241
NPU_INT8, NPU_INT8, NPU_INT8,1,472,504,0,829,0.573916
NPU_INT8, NPU_INT8, NPU_INT8,1,512,504,0,890,0.579883
NPU_INT8, NPU_INT8, NPU_INT8,1,512,512,0,908,0.57741
NPU_INT8, NPU_INT8, NPU_INT8,2,8,8,0,23,0.01113
NPU_INT8, NPU_INT8, NPU_INT8,2,8,16,0,24,0.021333
NPU_INT8, NPU_INT8, NPU_INT8,2,16,16,0,24,0.042667
NPU_INT8, NPU_INT8, NPU_INT8,2,16,32,0,26,0.078769
NPU_INT8, NPU_INT8, NPU_INT8,2,24,32,0,28,0.109714
NPU_INT8, NPU_INT8, NPU_INT8,2,24,56,0,32,0.168
NPU_INT8, NPU_INT8, NPU_INT8,2,32,56,0,34,0.210824
NPU_INT8, NPU_INT8, NPU_INT8,2,32,64,0,34,0.240941
NPU_INT8, NPU_INT8, NPU_INT8,2,56,64,0,45,0.318578
NPU_INT8, NPU_INT8, NPU_INT8,2,56,72,0,50,0.32256
NPU_INT8, NPU_INT8, NPU_INT8,2,64,72,0,53,0.347774
NPU_INT8, NPU_INT8, NPU_INT8,2,64,80,0,55,0.372364
NPU_INT8, NPU_INT8, NPU_INT8,2,72,80,0,60,0.384
NPU_INT8, NPU_INT8, NPU_INT8,2,72,128,0,79,0.466633
NPU_INT8, NPU_INT8, NPU_INT8,2,128,128,0,122,0.53718
NPU_INT8, NPU_INT8, NPU_INT8,2,128,152,0,147,0.529415
NPU_INT8, NPU_INT8, NPU_INT8,2,256,152,0,273,0.570139
NPU_INT8, NPU_INT8, NPU_INT8,2,256,256,0,251,1.044398
NPU_INT8, NPU_INT8, NPU_INT8,2,312,256,0,295,1.08301
NPU_INT8, NPU_INT8, NPU_INT8,2,312,312,0,358,1.087642
NPU_INT8, NPU_INT8, NPU_INT8,2,368,368,0,616,0.879377
NPU_INT8, NPU_INT8, NPU_INT8,2,368,472,0,639,1.087299
NPU_INT8, NPU_INT8, NPU_INT8,2,472,472,0,907,0.982509
NPU_INT8, NPU_INT8, NPU_INT8,2,472,504,0,1003,0.948706
NPU_INT8, NPU_INT8, NPU_INT8,2,512,504,0,946,1.091112
NPU_INT8, NPU_INT8, NPU_INT8,2,512,512,0,963,1.088864
NPU_INT8, NPU_INT8, NPU_INT8,4,8,8,0,33,0.015515
NPU_INT8, NPU_INT8, NPU_INT8,4,8,16,0,33,0.03103
NPU_INT8, NPU_INT8, NPU_INT8,4,16,16,0,33,0.062061
NPU_INT8, NPU_INT8, NPU_INT8,4,16,32,0,34,0.120471
NPU_INT8, NPU_INT8, NPU_INT8,4,24,32,0,37,0.166054
NPU_INT8, NPU_INT8, NPU_INT8,4,24,56,0,40,0.2688
NPU_INT8, NPU_INT8, NPU_INT8,4,32,56,0,42,0.341333
NPU_INT8, NPU_INT8, NPU_INT8,4,32,64,0,45,0.364089
NPU_INT8, NPU_INT8, NPU_INT8,4,56,64,0,55,0.521309
NPU_INT8, NPU_INT8, NPU_INT8,4,56,72,0,59,0.546712
NPU_INT8, NPU_INT8, NPU_INT8,4,64,72,0,63,0.585143
NPU_INT8, NPU_INT8, NPU_INT8,4,64,80,0,65,0.630154
NPU_INT8, NPU_INT8, NPU_INT8,4,72,80,0,69,0.667826
