quant,i_type,o_type, size, time(us), GPOS/s
QUANT_ISCALE,NPU_INT8,NPU_INT8,640,10,0.015625
QUANT_ISCALE,NPU_INT8,NPU_INT8,5120,56,0.0109375
QUANT_ISCALE,NPU_INT8,NPU_INT8,20480,130,0.006347656
QUANT_ISCALE,NPU_INT8,NPU_INT8,81920,748,0.009130859
QUANT_ISCALE,NPU_INT8,NPU_INT8,163840,1681,0.01026001
QUANT_ISCALE,NPU_INT8,NPU_INT8,655360,6594,0.010061646
QUANT_FSCALE,NPU_INT8,NPU_INT8,640,60,0.09375
QUANT_FSCALE,NPU_INT8,NPU_INT8,5120,463,0.090429688
QUANT_FSCALE,NPU_INT8,NPU_INT8,20480,1106,0.054003906
QUANT_FSCALE,NPU_INT8,NPU_INT8,81920,7370,0.08996582
QUANT_FSCALE,NPU_INT8,NPU_INT8,163840,14756,0.090063477
QUANT_FSCALE,NPU_INT8,NPU_INT8,655360,58180,0.088775635
QUANT_FSCALE,NPU_INT8,NPU_INT32,640,57,0.0890625
QUANT_FSCALE,NPU_INT8,NPU_INT32,5120,451,0.088085938
QUANT_FSCALE,NPU_INT8,NPU_INT32,20480,1790,0.087402344
QUANT_FSCALE,NPU_INT8,NPU_INT32,81920,7383,0.090124512
QUANT_FSCALE,NPU_INT8,NPU_INT32,163840,14778,0.090197754
QUANT_FSCALE,NPU_INT8,NPU_INT32,655360,57490,0.087722778
QUANT_FSCALE,NPU_INT8,NPU_FP32,640,36,0.05625
QUANT_FSCALE,NPU_INT8,NPU_FP32,5120,257,0.050195313
QUANT_FSCALE,NPU_INT8,NPU_FP32,20480,1524,0.074414063
QUANT_FSCALE,NPU_INT8,NPU_FP32,81920,4624,0.056445313
QUANT_FSCALE,NPU_INT8,NPU_FP32,163840,8227,0.050213623
QUANT_FSCALE,NPU_INT8,NPU_FP32,655360,31903,0.048680115
QUANT_FSCALE,NPU_INT32,NPU_INT8,640,60,0.09375
QUANT_FSCALE,NPU_INT32,NPU_INT8,5120,461,0.090039063
QUANT_FSCALE,NPU_INT32,NPU_INT8,20480,1648,0.08046875
QUANT_FSCALE,NPU_INT32,NPU_INT8,81920,7369,0.089953613
QUANT_FSCALE,NPU_INT32,NPU_INT8,163840,14766,0.090124512
QUANT_FSCALE,NPU_INT32,NPU_INT8,655360,58287,0.088938904
QUANT_FSCALE,NPU_INT32,NPU_INT32,640,54,0.084375
QUANT_FSCALE,NPU_INT32,NPU_INT32,5120,436,0.08515625
QUANT_FSCALE,NPU_INT32,NPU_INT32,20480,1557,0.076025391
QUANT_FSCALE,NPU_INT32,NPU_INT32,81920,6963,0.084997559
QUANT_FSCALE,NPU_INT32,NPU_INT32,163840,13948,0.085131836
QUANT_FSCALE,NPU_INT32,NPU_INT32,655360,54235,0.082756042
QUANT_FSCALE,NPU_INT32,NPU_FP32,640,33,0.0515625
QUANT_FSCALE,NPU_INT32,NPU_FP32,5120,254,0.049609375
QUANT_FSCALE,NPU_INT32,NPU_FP32,20480,923,0.045068359
QUANT_FSCALE,NPU_INT32,NPU_FP32,81920,4097,0.050012207
QUANT_FSCALE,NPU_INT32,NPU_FP32,163840,8217,0.050152588
QUANT_FSCALE,NPU_INT32,NPU_FP32,655360,32897,0.050196838
QUANT_FSCALE,NPU_FP32,NPU_INT8,592,124,0.209459459
QUANT_FSCALE,NPU_FP32,NPU_INT8,5920,626,0.105743243
QUANT_FSCALE,NPU_FP32,NPU_INT8,10064,1016,0.100953895
QUANT_FSCALE,NPU_FP32,NPU_INT8,17760,1743,0.098141892
QUANT_FSCALE,NPU_FP32,NPU_INT8,81696,15162,0.185590482
QUANT_FSCALE,NPU_FP32,NPU_INT8,201280,191448,0.951152623
